Zip,Population,County,State,WiredCount_2020,Fwcount_2020,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,%Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan,WiredCount_2015,Fwcount_2015,AllProviderCount_2015,Wired25_3_2015,Wired100_3_2015,All25_3_2015,All100_3_1,polyname,fips
31563,1324,Appling,Georgia,3,1,8,1,1,3,1,NA,NA,NA,4%,NULL,6,0,8,0,0,0,0,"georgia,appling",13001
31513,16084,Appling,Georgia,7,1,12,5,3,7,3,216,27.16,48.91,64%,55,3,0,5,1,0,1,0,"georgia,appling",13001
31518,704,Appling,Georgia,3,1,8,1,1,3,1,1,20.63,20.63,0%,79.99,3,0,5,0,0,0,0,"georgia,appling",13001
31624,1273,Atkinson,Georgia,6,1,12,3,2,5,2,NA,NA,NA,13%,79.99,2,0,4,0,0,0,0,"georgia,atkinson",13003
31642,4898,Atkinson,Georgia,4,0,9,3,3,5,4,1323,15.92,42.78,70%,34.95,3,0,5,1,1,1,1,"georgia,atkinson",13003
31650,3311,Atkinson,Georgia,6,0,11,5,5,7,6,59,6.07,15.67,82%,25,4,0,6,2,2,2,2,"georgia,atkinson",13003
31510,9848,Bacon,Georgia,6,1,12,4,4,6,4,962,68.68,148.03,83%,25,3,0,5,1,0,1,0,"georgia,bacon",13005
39870,2238,Baker,Georgia,2,1,8,2,0,4,1,8,62.82,83.66,49%,55,1,0,3,0,0,0,0,"georgia,baker",13007
31062,495,Baldwin,Georgia,2,0,7,1,1,3,1,NA,NA,NA,100%,74.99,5,0,7,1,1,1,1,"georgia,baldwin",13009
31061,43755,Baldwin,Georgia,9,1,15,8,8,10,8,25451,122.72,323.68,95%,35,5,0,7,4,3,4,3,"georgia,baldwin",13009
30511,3186,Banks,Georgia,3,1,9,3,3,5,3,4029,29.58,53.19,84%,59.95,2,0,4,1,1,1,1,"georgia,banks",13011
30547,3268,Banks,Georgia,4,0,9,4,4,6,4,476,13.53,28.06,73%,79.99,1,0,3,0,0,0,0,"georgia,banks",13011
30011,14402,Barrow,Georgia,7,0,12,7,7,9,8,2590,109.84,232.62,100%,35,3,0,5,2,1,2,1,"georgia,barrow",13013
30517,11963,Barrow,Georgia,8,0,13,8,8,10,9,3210,98.34,229.63,100%,35,4,0,6,3,2,3,2,"georgia,barrow",13013
30620,12486,Barrow,Georgia,6,0,11,6,6,8,7,1146,67.91,222.47,100%,35,3,0,5,1,1,1,1,"georgia,barrow",13013
30666,8659,Barrow,Georgia,7,0,12,6,6,8,7,4606,320.62,535.38,100%,35,4,0,6,3,2,3,2,"georgia,barrow",13013
30680,37837,Barrow,Georgia,7,0,12,7,7,9,8,60153,86.75,168.69,99%,35,3,0,5,1,1,1,1,"georgia,barrow",13013
30103,14781,Bartow,Georgia,5,1,11,5,5,7,6,1369,39.46,86.87,98%,35,2,0,4,1,1,1,1,"georgia,bartow",13015
30120,38085,Bartow,Georgia,6,1,12,6,6,8,7,23823,74.88,282.28,99%,35,3,0,5,2,1,2,1,"georgia,bartow",13015
30121,22078,Bartow,Georgia,5,1,11,5,5,7,6,2378,44.01,124.48,100%,35,2,0,4,2,1,2,1,"georgia,bartow",13015
30137,1650,Bartow,Georgia,4,1,10,4,4,6,5,0,0,0,100%,35,2,0,4,2,1,2,1,"georgia,bartow",13015
30139,3845,Bartow,Georgia,5,1,11,4,3,6,4,696,4.43,7.69,62%,55,6,0,8,3,2,3,2,"georgia,bartow",13015
30145,8378,Bartow,Georgia,5,1,11,5,5,7,6,102,74.99,198.13,93%,35,2,0,4,2,1,2,1,"georgia,bartow",13015
30171,3491,Bartow,Georgia,6,1,12,5,5,7,6,10,2.35,2.88,96%,35,3,0,5,2,1,2,1,"georgia,bartow",13015
30178,3468,Bartow,Georgia,4,1,10,4,4,6,5,56,34.87,82.4,97%,35,2,0,4,2,1,2,1,"georgia,bartow",13015
30184,6847,Bartow,Georgia,7,1,13,7,7,9,8,332,14.88,46.99,99%,35,3,0,5,2,1,2,1,"georgia,bartow",13015
31750,18687,Ben Hill,Georgia,5,0,10,5,4,7,5,15489,25.16,60.68,90%,44.95,2,0,4,1,1,1,1,"georgia,ben hill",13017
31622,2178,Berrien,Georgia,3,0,7,3,3,5,4,362,19.06,48.12,79%,69.99,2,0,4,1,1,1,1,"georgia,berrien",13019
31639,10537,Berrien,Georgia,3,0,8,3,3,5,4,1616,20.05,45.41,87%,69.99,2,0,4,1,1,1,1,"georgia,berrien",13019
31645,5147,Berrien,Georgia,5,0,10,3,3,5,4,54,43.01,90.16,88%,69.99,3,0,5,1,1,1,1,"georgia,berrien",13019
31749,2783,Berrien,Georgia,7,1,13,3,3,5,4,268,27,40.54,91%,69.99,4,0,6,1,1,1,1,"georgia,berrien",13019
31294,NULL,Bibb,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"georgia,bibb",13021
31295,NULL,Bibb,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"georgia,bibb",13021
31296,NULL,Bibb,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"georgia,bibb",13021
31052,8652,Bibb,Georgia,7,1,14,5,1,7,1,2178,19.37,45.8,100%,65.99,4,1,7,3,1,4,1,"georgia,bibb",13021
31201,8761,Bibb,Georgia,9,0,15,6,6,8,6,2926,57.33,134.05,89%,35,4,0,6,2,2,2,2,"georgia,bibb",13021
31204,31482,Bibb,Georgia,9,0,15,7,5,9,5,6764,86.65,232.1,100%,35,3,0,5,1,1,1,1,"georgia,bibb",13021
31206,29072,Bibb,Georgia,7,0,13,7,4,9,4,1258,65.28,165.69,99%,35,4,0,6,2,1,2,1,"georgia,bibb",13021
31207,974,Bibb,Georgia,2,0,8,1,1,3,1,918,28.33,75.79,68%,65.99,2,0,4,1,1,1,1,"georgia,bibb",13021
31210,30968,Bibb,Georgia,12,1,19,10,7,12,7,12750,76.91,223.44,96%,35,5,0,7,2,1,2,1,"georgia,bibb",13021
31211,16282,Bibb,Georgia,8,0,14,5,5,7,5,4637,60.12,167.83,95%,35,4,0,6,1,1,1,1,"georgia,bibb",13021
31213,0,Bibb,Georgia,3,0,9,1,1,3,1,3,8.88,15.88,0%,65.99,2,0,4,1,1,1,1,"georgia,bibb",13021
31216,16109,Bibb,Georgia,5,0,11,3,3,5,3,13640,101.67,310.69,96%,35,4,0,6,2,1,2,1,"georgia,bibb",13021
31217,18408,Bibb,Georgia,8,1,15,5,5,7,5,1268,38.16,102.67,84%,35,3,0,5,1,1,1,1,"georgia,bibb",13021
31220,13839,Bibb,Georgia,7,1,14,5,3,7,3,2367,103.22,173.23,97%,35,5,0,7,3,1,3,1,"georgia,bibb",13021
31014,13756,Bleckley,Georgia,11,1,17,5,5,7,5,983,27.6,69.42,56%,69.99,6,0,8,1,0,1,0,"georgia,bleckley",13023
31566,3471,Brantley,Georgia,3,0,8,2,2,4,2,NA,NA,NA,100%,46,1,0,3,1,0,1,0,"georgia,brantley",13025
31542,2811,Brantley,Georgia,1,0,6,1,1,3,1,1,84.76,84.76,100%,69.99,2,0,4,2,1,2,1,"georgia,brantley",13025
31543,4796,Brantley,Georgia,2,1,8,2,2,4,2,226,61.88,130.2,96%,69.99,2,0,4,2,1,2,1,"georgia,brantley",13025
31553,5237,Brantley,Georgia,3,0,8,3,2,5,2,819,73.25,178.81,100%,69.99,1,0,3,1,0,1,0,"georgia,brantley",13025
31625,1171,Brooks,Georgia,2,0,7,1,1,3,2,NA,NA,NA,75%,NA,6,0,8,0,0,0,0,"georgia,brooks",13027
31629,902,Brooks,Georgia,2,0,7,1,1,3,2,66,9.11,26.29,57%,NULL,1,0,3,0,0,0,0,"georgia,brooks",13027
31638,1045,Brooks,Georgia,3,0,8,3,3,5,4,26,12.25,23.99,74%,69.99,1,0,3,0,0,0,0,"georgia,brooks",13027
31643,8709,Brooks,Georgia,7,1,13,5,5,7,6,650,29.56,112.06,87%,35,4,0,6,2,2,2,2,"georgia,brooks",13027
31308,7305,Bryan,Georgia,6,0,12,5,5,7,5,1889,71.5,225.61,100%,29,4,0,6,2,2,2,2,"georgia,bryan",13029
31321,6326,Bryan,Georgia,5,0,11,4,4,6,4,1514,46.27,97.26,100%,29,4,0,6,2,2,2,2,"georgia,bryan",13029
31324,20495,Bryan,Georgia,9,0,15,8,5,10,5,11945,99.55,232.01,97%,40,4,0,6,3,2,3,2,"georgia,bryan",13029
30415,6780,Bulloch,Georgia,6,0,12,5,5,7,5,2230,60.39,142.13,100%,29,3,0,5,0,0,0,0,"georgia,bulloch",13031
30450,2583,Bulloch,Georgia,5,0,11,5,5,7,5,490,73.99,204.82,100%,59.95,3,0,5,1,1,1,1,"georgia,bulloch",13031
30452,1567,Bulloch,Georgia,5,0,11,4,4,6,4,662,48.21,94.92,100%,59.95,5,0,7,1,1,1,1,"georgia,bulloch",13031
30458,41139,Bulloch,Georgia,6,0,12,5,5,7,5,25122,62.26,127.27,100%,50,5,0,7,3,1,3,1,"georgia,bulloch",13031
30460,427,Bulloch,Georgia,2,0,8,2,2,4,2,854,50.11,113.81,100%,59.95,1,0,3,0,0,0,0,"georgia,bulloch",13031
30461,13390,Bulloch,Georgia,6,0,12,5,5,7,6,2767,63.94,105.63,100%,50,3,0,5,1,0,1,0,"georgia,bulloch",13031
30426,1100,Burke,Georgia,3,1,9,1,1,3,2,254,6.46,15.23,8%,NULL,2,0,4,1,1,1,1,"georgia,burke",13033
30456,2119,Burke,Georgia,5,1,10,2,2,4,3,5,22.63,50.04,53%,79.99,3,0,5,1,1,1,1,"georgia,burke",13033
30816,2109,Burke,Georgia,4,1,10,2,2,4,3,3,0.74,0.98,44%,79.99,3,0,5,2,2,2,2,"georgia,burke",13033
30830,13966,Burke,Georgia,4,1,10,2,2,4,3,2080,44.99,141.92,83%,79.99,3,0,5,2,2,2,2,"georgia,burke",13033
30216,2159,Butts,Georgia,3,1,9,3,3,5,4,NA,NA,NA,96%,55,8,0,10,2,1,2,1,"georgia,butts",13035
30234,1934,Butts,Georgia,4,0,9,4,4,6,5,29,111.78,234.5,98%,35,2,0,4,2,1,2,1,"georgia,butts",13035
39813,2110,Calhoun,Georgia,4,1,9,1,1,3,2,15,6.52,9.2,62%,69.99,3,0,5,1,1,1,1,"georgia,calhoun",13037
39846,2440,Calhoun,Georgia,2,0,6,2,2,4,2,13,53.79,120.58,73%,69.99,2,0,4,0,0,0,0,"georgia,calhoun",13037
39862,1326,Calhoun,Georgia,1,0,6,0,0,2,1,382,12.15,46.69,0%,NULL,1,0,3,0,0,0,0,"georgia,calhoun",13037
39866,2122,Calhoun,Georgia,2,0,6,2,2,4,3,1,23.49,23.49,15%,NULL,1,0,3,0,0,0,0,"georgia,calhoun",13037
31568,1273,Camden,Georgia,3,0,8,3,3,5,3,NA,NA,NA,70%,66.95,6,0,8,3,0,3,0,"georgia,camden",13039
31547,1293,Camden,Georgia,2,0,7,2,2,4,2,4,1.93,2.54,72%,66.95,2,0,4,2,1,2,1,"georgia,camden",13039
