Provider Name/Clinic Name,County,Pfizer Doses Requested,Total Allocated - Pfizer,Moderna Doses Requested,Total Allocated - Moderna
alpha medical clinic,Appling,0,0,600,"0"
american family care gateway rd,Appling,0,0,500,"0"
Anderson Family Medicine,Appling,0,0,4400,"200"
Any Lab Test Now- Windy Hill,Appling,0,0,1300,"400"
Appling County Health Department,Appling,0,0,8100,"3500"
Appling Healthcare Systems,Appling,3900,1950,800,"800"
Bacon County Hospital And Health System,Appling,0,0,900,"700"
Baxley Wellness Pharmacy,Appling,0,0,1200,"600"
business technology outreach corporati,Appling,0,0,0,"0"
community family practice urgent,Appling,0,0,0,"0"
Concord Pharmacy,Appling,0,0,9700,"400"
cvs 154,Appling,0,0,0,"0"
cvs 16468,Appling,0,0,0,"0"
cvs 16874,Appling,0,0,0,"0"
cvs 17080,Appling,0,0,0,"0"
cvs 17220,Appling,0,0,0,"0"
cvs 2081,Appling,0,0,0,"0"
cvs 2082,Appling,0,0,0,"0"
cvs 2108,Appling,0,0,0,"0"
cvs 2184,Appling,0,0,0,"0"
cvs 2186,Appling,0,0,0,"0"
cvs 2227,Appling,0,0,0,"0"
cvs 2236,Appling,0,0,0,"0"
cvs 2367,Appling,0,0,0,"0"
cvs 2526,Appling,0,0,0,"0"
cvs 2544,Appling,0,0,0,"0"
cvs 2569,Appling,0,0,0,"0"
cvs 2593,Appling,0,0,0,"0"
cvs 2841,Appling,0,0,0,"0"
cvs 2965,Appling,0,0,0,"0"
cvs 3013,Appling,0,0,0,"0"
cvs 3766,Appling,0,0,0,"0"
cvs 3878,Appling,0,0,0,"0"
cvs 4147,Appling,0,0,0,"0"
cvs 4424,Appling,0,0,100,"0"
cvs 4513,Appling,0,0,0,"0"
cvs 4549,Appling,0,0,0,"0"
cvs 4579,Appling,0,0,0,"0"
cvs 4742,Appling,0,0,0,"0"
cvs 5352,Appling,0,0,0,"0"
cvs 5395,Appling,0,0,0,"0"
cvs 5418,Appling,0,0,0,"0"
cvs 5520,Appling,0,0,0,"0"
cvs 5621,Appling,0,0,0,"0"
cvs 5633,Appling,0,0,0,"0"
cvs 60,Appling,0,0,0,"0"
cvs 6956,Appling,0,0,0,"0"
cvs 7336,Appling,0,0,0,"0"
cvs 7622,Appling,0,0,0,"0"
cvs 81,Appling,0,0,0,"0"
Georgia Clinicwest End,Appling,2925,0,2000,"0"
healthstataugusta richmond county,Appling,0,0,0,"0"
